mu,p,sttc_overall,transition_time,is_epileptic,has_transition
0.1,0.1,0.000317871366860345,3.0,false,false
0.1,0.2,0.0004270973731763661,3.0,false,false
0.1,0.7,0.00043468832154758275,3.0,false,false
0.1,1.0,0.0003678848152048886,3.0,false,false
0.5,0.1,0.00032356480369344354,3.0,false,false
0.5,0.2,0.0004741833545267582,3.0,false,false
0.5,0.7,0.0010242457501590252,3.0,false,false
0.5,1.0,0.0005208664224483073,3.0,false,false
1.0,0.1,0.00031104235677048564,3.0,false,false
1.0,0.2,0.0005129603086970747,3.0,false,false
1.0,0.7,0.9972732663154602,3.0,true,false
1.0,1.0,0.9979997277259827,3.0,true,false
1.5,0.1,0.000341673701768741,3.0,false,false
1.5,0.2,0.0005844425177201629,3.0,false,false
1.5,0.7,0.999000072479248,3.0,true,false
1.5,1.0,0.9984862804412842,3.0,true,false
2.0,0.1,0.000428705767262727,3.0,false,false
2.0,0.2,0.998397946357727,3.0,true,false
2.0,0.7,0.9990384578704834,3.0,true,false
2.0,1.0,0.9985648393630981,3.0,true,false
5.0,0.1,0.9972690939903259,3.0,true,false
5.0,0.2,0.9990381002426147,3.0,true,false
5.0,0.7,0.9990384578704834,3.0,true,false
5.0,1.0,0.9990186095237732,3.0,true,false
10.0,0.1,0.9990384578704834,3.0,true,false
10.0,0.2,0.9990384578704834,3.0,true,false
10.0,0.7,0.9990384578704834,3.0,true,false
10.0,1.0,0.9990373253822327,3.0,true,false
